composicion,caracter,estrofa,verso,acentos,duracion,xf0,st_M_m,st_tonema,pendiente_verso,pendiente_tonema
002,b,1,10,2,1.3403387367207316,208.00546860267391,3.8198347871315006,-0.6416144808910051,0.37881467796796464,-2.3472708837267455
002,b,2,1,3,1.402979619705846,247.30831145327272,7.858971154773421,0.8025931691811914,-2.4337507267235514,5.502233410626442
002,b,2,2,3,1.4410521619750298,233.68111943454375,5.410844788571616,-3.210712423534324,-1.3660646624530879,-10.860302416190782
002,b,2,3,2,1.436413251012013,248.60369729748058,7.024493841564089,-1.8755105810893449,1.6982831011360866,-6.973706677675096
002,b,2,4,2,1.4570749588000496,238.6958687339967,5.336966899492847,0.7326062653560749,1.1734821713244366,4.384667851423813
002,b,2,5,2,1.329621793807263,279.54044059900195,7.715374224003667,-0.4298256699700448,2.2940744174032877,-4.5436224435246695
002,b,2,6,2,1.4661011756965223,264.98611977114757,6.683007508412546,-3.8067274375026363,-2.303716096291888,-13.086236094141857
002,b,2,7,3,1.5833409124468218,248.19547060599623,6.490135458571581,-1.813367150591124,0.1391957267679361,-6.770064745141642
002,b,2,8,3,1.6036568847274069,288.21652820714235,12.026225045309252,3.681465311894894,6.567979806240945,11.43103653137556
002,b,2,9,3,1.4368275746137869,315.8893231154908,11.16279436629364,-9.183212029722128,-5.195761887806142,-25.662680743766504
002,b,2,10,2,1.269572651706035,261.4986769913862,11.063879158081571,-10.899386222701377,-3.6538557971901744,-30.30703076308776
002,b,3,1,2,1.4191430999991397,253.95370108113553,7.616141500885217,-2.520593287329404,-3.409867515210047,-8.655848592643363
002,b,3,2,2,1.4593115046068874,247.6686344097252,6.96142132590302,-5.2070379020294135,-0.6689627931809918,-23.660451757051078
002,b,3,3,2,1.2437254711374095,279.06602273900876,10.302744198558608,-1.2393442580061462,1.3268143477625771,-10.394777358095888
002,b,3,4,3,1.435399360927903,251.59905176604315,9.791597225991236,-8.970713394941454,-4.73975730874783,-43.98043649634195
002,b,3,5,3,1.5234986418276293,283.49782535492466,9.963961460289468,-7.345521804474824,-2.7445039677064194,-32.90875393545299
002,b,3,6,2,1.4789108378069784,242.85249204331328,7.5332807110433375,-5.037724042328179,-0.42403663173889744,-15.643712959450543
002,b,3,7,3,1.4617385682282418,230.92955038535922,4.072616416556089,-0.3803410024543077,-0.7987188750867898,-0.8492777823277298
002,b,3,8,2,1.355241118028161,253.5181266508182,9.762558283290423,2.876037467015605,5.855928833212941,7.765360083975903
002,b,3,9,2,1.442192782973848,250.13854117102076,7.390402258713895,-4.712455224839802,-1.5015106243050549,-16.94196961527129
002,b,3,10,2,1.3336279572134373,232.46474849473853,8.86335974708803,-6.3033525128796395,-2.487816902970661,-17.921173540163434
002,b,4,1,3,1.4658160204468516,247.6378536039802,5.051164392043088,-0.8320652841761449,-1.2216058119688977,-4.09953100107414
002,b,4,2,3,1.4613891191214492,256.16508795047275,4.065536061445597,-1.4089712841365696,0.4197849266663253,-12.527165595512207
002,b,4,3,3,1.4347437717055698,266.4617541362448,5.968029064799948,-2.660163534467822,0.3448416164119895,-15.506560210189408
002,b,4,4,2,1.4389065026471286,281.7969857269465,6.760855888627756,4.613589254755042,3.2101155840939075,3.8245516678087292
002,b,4,5,2,1.4444810199265987,301.71666869293006,8.016554499748992,-5.991000663275169,-5.003959868446041,-22.96180819666831
002,b,4,6,3,1.507609570872546,265.4000101426687,6.020366210474359,4.331949566166886,3.018300222265256,4.039461686733499
002,b,4,7,3,1.5195637672338904,253.60445090027855,3.680405987076175,-0.414919633977605,-1.8624274911643062,-1.096207839117096
002,b,4,8,3,1.5494171112086832,250.10302393785216,9.116131534216738,4.164557883993484,4.620373095327915,14.433238380987907
002,b,4,9,2,1.5104558308515976,266.7938359416489,7.575833381650272,-1.4569553841238092,-0.9393556424183476,-5.753877139464742
002,b,4,10,2,1.6557457745046662,261.723776842044,6.033922711052117,-3.5562345179046972,-0.26768132701422875,-8.957781715427222
002,b,5,1,3,1.4031067204576715,291.1438185473799,8.894790112316871,-1.6659225513687566,-1.5416335054995725,-7.9679777772347125
